PID,NAME,NAME TYPE,MISSION TYPE,MISSION TYPE PLUS,MISSION CATEGORY,SPACE,TIME,YEAR,MONTH,DAY,LAUNCH LOCATION,LAUNCH VEHICLE,CREWED,CELESTIAL BODIES,ORBIT,PROGRAM COST
Locally assigned persistent ID,Mission name,"SKOS RDF concept label - exactly one preferred label per mission, the most common/recent name, often the acronymn, but not always, multiple alt/hidden labels allowed but not required","Existing mission types, exactly one per mission, frontend facet, see validate tab","Phase II: new mission types, once field populated with data will be combined with existing mission types, see validate tab","Phase II: discipline/subject based, currently set up as one per mission, but if multiple are needed per mission this structure can be revised, see validate tab",Phase II: see validate tab,Phase II: see validate tab,YYYY,MON,DD,See validate tab,"This column might get phased out eventually, existing only through links between missions, but populate for now where applicable",Phase II: Binary Y/N,"Phase II: Pipe delimited list (add flyby, orbit, landing afterwards in parenthesis if known) - for now just listed in a cell but data structure likely to change - use the Unified Astronomical Thesaurus (UAT) concept names: https://astrothesaurus.org/thesaurus/search-the-uat/","Phase II: Only a few Earth orbits listed currently, but more to be added soon","Don't waste time trying to track down this number, but if you happen to come across it, then add it in"
GSFCIR system,"Extracted from mission source(s), listed one per line in export, so a lot of the data below is repetitive, but it's a bit easier this way ","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally",Extracted from mission source(s),Extracted from mission source(s),Extracted from mission source(s),Extracted from mission source(s),Extracted from mission source(s),Derived from mission source(s),Derived from mission source(s),Derived from mission source(s),Extracted from mission source(s)
gsfcirMisn:1002,Absolute Measurement of the Solar Constant,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1003,AC Electric Field Measurement,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1004,Accelerometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1005,ACE,Preferred,spacecraft,NULL,NULL,NULL,NULL,1997,AUG,25,"Cape Canaveral, FL",Delta II 7920,NULL,NULL,NULL,NULL
gsfcirMisn:1005,Explorer 71,Alternate,spacecraft,NULL,NULL,NULL,NULL,1997,AUG,25,"Cape Canaveral, FL",Delta II 7920,NULL,NULL,NULL,NULL
gsfcirMisn:1005,Advanced Composition Explorer,Hidden,spacecraft,NULL,NULL,NULL,NULL,1997,AUG,25,"Cape Canaveral, FL",Delta II 7920,NULL,NULL,NULL,NULL
gsfcirMisn:1006,ACRIMSAT,Preferred,spacecraft,NULL,NULL,NULL,NULL,1999,DEC,21,Vandenberg Air Force Base,Taurus,NULL,NULL,NULL,NULL
gsfcirMisn:1006,Active Cavity Radiometer Irradiance Monitoring Satellite,Alternate,spacecraft,NULL,NULL,NULL,NULL,1999,DEC,21,Vandenberg Air Force Base,Taurus,NULL,NULL,NULL,NULL
